ticker,company,sector,industry,first_seen,n_snapshots
AGO,Assured Guaranty Ltd.,Financials,Property & Casualty Insurance,2021-06,5
AGTI,"Agiliti, Inc.",Health Care,Health Care Services,2023-06,1
AGYS,"Agilysys, Inc.",Information Technology,Application Software,2021-06,5
AHCO,AdaptHealth Corp.,Health Care,Health Care Equipment,2023-06,3
AHH,"Armada Hoffler Properties, Inc.",Real Estate,Diversified REITs,2021-06,5
AIN,Albany International Corp.,Industrials,Industrial Machinery,2021-06,5
AIR,AAR Corp.,Industrials,Aerospace & Defense,2021-06,5
AIT,Applied Industrial Technologies,Industrials,Trading Companies & Distributors,2021-06,3
AJRD,Aerojet Rocketdyne Holdings,Industrials,Aerospace & Defense,2021-06,3
AKR,Acadia Realty Trust,Real Estate,Retail REITs,2021-06,5
AL,Air Lease Corporation,Industrials,Passenger Airlines,2024-06,2
ALEX,Alexander & Baldwin,Real Estate,Diversified REITs,2021-06,5
ALG,Alamo Group,Industrials,Construction Machinery & Heavy Trucks,2021-06,5
ALGT,Allegiant Travel Company,Industrials,Airlines,2021-06,5
ALK,Alaska Air Group,Industrials,Passenger Airlines,2024-06,1
ALKS,Alkermes plc,Health Care,Pharmaceuticals,2024-06,2
ALRM,"Alarm.Com, Inc.",Financials,Application Software,2021-06,5
AMBC,Ambac Financial Group,Financials,Property & Casualty Insurance,2021-06,4
AMCX,AMC Networks,Consumer Discretionary,Broadcasting,2021-06,4
AMEH,"Apollo Medical Holdings, Inc.",Health Care,Health Care Facilities,2021-06,3
AMN,"Amn Healthcare Services, Inc.",Health Care,Health Care Services,2021-06,5
AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,2021-06,5
AMR,"Alpha Metallurgical Resources, Inc.",Materials,Steel,2024-06,2
AMSF,"Amerisafe, Inc.",Financials,Property & Casualty Insurance,2021-06,5
AMTM,Amentum,Industrials,Diversified Support Services,2025-06,1
AMWD,American Woodmark Corp.,Industrials,Building Products,2021-06,5
ANDE,"The Andersons, Inc.",Consumer Staples,Food Distributors,2021-06,5
ANF,Abercrombie & Fitch Company,Consumer Discretionary,Apparel Retail,2021-06,4
ANGI,Angi Inc.,Communication Services,Advertising,2025-06,1
ANGO,"Angiodynamics, Inc.",Health Care,Health Care Equipment,2021-06,3
ANIK,Anika Therapeutics,Health Care,Health Care Supplies,2021-06,3
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,2021-06,5
AORT,Artivion,Health Care,Health Care Equipment,2022-06,4
AOSL,"Alpha and Omega Semiconductor, Ltd.",Information Technology,Semiconductors,2022-06,4
APAM,"Artisan Partners Asset Management, Inc.",Financials,Asset Management & Custody Banks,2023-06,3
APEI,American Public Education,Consumer Discretionary,Education Services,2021-06,2
APLE,"Apple Hospitality REIT, Inc.",Real Estate,Hotel & Resort REITs,2024-06,2
APOG,"Apogee Enterprises, Inc.",Industrials,Building Products,2021-06,5
APPS,Digital Turbine,Information Technology,Application Software,2023-06,1
ARCB,Arcbest Corp.,Industrials,Trucking,2021-06,5
ARCH,"Arch Resources, Inc.",Materials,Diversified Metals & Mining,2024-06,1
ARI,Apollo Commercial Real Estate Finance,Real Estate,Mortgage REITs,2021-06,5
ARLO,Arlo Technologies,Information Technology,Communications Equipment,2021-06,5
ARNC,Arconic Corp.,Materials,Aluminum,2021-06,3
AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services,2021-06,5
ARR,Armour Residential REIT,Real Estate,Mortgage REITs,2021-06,5
ARWR,Arrowhead Pharmaceuticals,Health Care,Biotechnology,2025-06,1
ASIX,"Advansix, Inc.",Materials,Commodity Chemicals,2021-06,5
ASO,Academy Sports + Outdoors,Consumer Discretionary,Specialty Stores,2022-06,4
ASTE,"Astec Industries, Inc.",Industrials,Construction Machinery & Heavy Trucks,2021-06,5
ASTH,"Astrana Health, Inc.",Health Care,Health Care Facilities,2024-06,2
ATEN,"A10 Networks, Inc.",Information Technology,Systems Software,2022-06,4
ATGE,Adtalem Global Education,Consumer Discretionary,Education Services,2022-06,4
ATI,Allegheny Technologies,Materials,Steel,2021-06,4
ATNI,"ATN International, Inc.",Communication Services,Integrated Telecommunication Services,2021-06,4
AUB,"Atlantic Union Bankshares, Corp.",Financials,Regional Banks,2023-06,3
AVA,Avista Corporation,Utilities,Multi-Utilities,2021-06,5
AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense,2021-06,5
AVD,American Vanguard Corporation,Materials,Fertilizers & Agricultural Chemicals,2021-06,3
AVID,"Avid Technology, Inc.",Information Technology,"Technology Hardware, Storage & Peripherals",2023-06,1
AVNS,"Avanos Medical, Inc.",Health Care,Health Care Supplies,2021-06,5
AVTA,"Avantax, Inc.",Financials,Asset Management & Custody Banks,2023-06,1
AWI,"Armstrong World Industries, Inc.",Industrials,Building Products,2024-06,2
AWR,American States Water Company,Utilities,Water Utilities,2021-06,5
AX,"Axos Financial, Inc.",Financials,Thrifts & Mortgage Finance,2021-06,5
AXL,"American Axle & Manufacturing, Inc.",Consumer Discretionary,Auto Parts & Equipment,2021-06,5
AZTA,"Azenta, Inc.",Health Care,Life Sciences Tools & Services,2025-06,1
AZZ,"AZZ, Inc.",Industrials,Heavy Electrical Equipment,2021-06,5
B,"Barnes Group, Inc.",Industrials,Industrial Machinery,2021-06,4
BANC,"Banc Of California, Inc.",Financials,Regional Banks,2021-06,5
BANF,Bancfirst Corp,Financials,Diversified Banks,2021-06,5
BANR,Banner Corporation,Financials,Regional Banks,2021-06,5
BBBY,Bed Bath & Beyond,Consumer Discretionary,Homefurnishing Retail,2021-06,2
BCC,Boise Cascade Company,Industrials,Building Products,2021-06,5
BCEI,"Bonanza Creek Energy, Inc",Energy,Oil & Gas Exploration & Production,2021-06,1
BCOR,"Blucora, Inc.",Financials,Asset Management & Custody Banks,2021-06,2
BCPC,Balchem Corporation,Materials,Specialty Chemicals,2021-06,5
BDN,Brandywine Realty Trust,Real Estate,Office REITs,2021-06,5
BELFB,"Bel Fuse, Inc.",Information Technology,Electronic Components,2021-06,1
BFH,"Bread Financial Holdings, Inc.",Financials,Consumer Finance,2023-06,3
BFS,"Saul Centers, Inc.",Real Estate,Retail REITs,2021-06,5
BGC,"BGC Group, Inc.",Financials,Investment Banking & Brokerage,2024-06,2
BGS,"B&G Foods, Inc.",Consumer Staples,Packaged Foods & Meats,2021-06,5
