ticker,company,sector,industry,first_seen,n_snapshots
PEB,Pebblebrook Hotel Trust,Real Estate,Hotel & Resort REITs,2023-06,3
PECO,Phillips Edison & Company,Real Estate,Retail REITs,2023-06,3
PENN,Penn Entertainment,Consumer Discretionary,Casinos & Gaming,2025-06,1
PETS,"PetMed Express, Inc.",Consumer Discretionary,Internet & Direct Marketing Retail,2021-06,2
PFBC,Preferred Bank,Financials,Regional Banks,2021-06,5
PFS,"Provident Financial Services, Inc.",Financials,Thrifts & Mortgage Finance,2021-06,5
PGNY,Progyny,Health Care,Health Care Services,2025-06,1
PGTI,"PGT Innovations, Inc.",Industrials,Building Products,2021-06,3
PHIN,"PHINIA, Inc.",Consumer Discretionary,Automotive Retail,2024-06,2
PI,"Impinj, Inc.",Information Technology,Electronic Equipment & Instruments,2025-06,1
PINC,"Premier, Inc.",Health Care,Health Care Services,2024-06,2
PIPR,Piper Sandler Companies,Financials,Investment Banking & Brokerage,2021-06,5
PJT,"PJT Partners, Inc.",Financials,Investment Banking & Brokerage,2024-06,2
PKE,Park Electrochemical Corp.,Industrials,Electrical Components & Equipment,2021-06,2
PLAB,"Photronics, Inc.",Information Technology,Semiconductor Equipment,2021-06,5
PLAY,"Dave & Buster's Entertainment, Inc.",Consumer Discretionary,Restaurants,2021-06,5
PLCE,"The Children's Place, Inc.",Consumer Discretionary,Apparel Retail,2021-06,2
PLMR,"Palomar Holdings, Inc.",Financials,Property & Casualty Insurance,2021-06,5
PLUS,"ePlus, Inc.",Information Technology,Technology Distributors,2021-06,5
PLXS,Plexus Corp.,Information Technology,Electronic Manufacturing Services,2021-06,5
PMT,PennyMac Mortgage Investment Trust,Real Estate,Mortgage REITs,2021-06,5
PNTG,"Pennant Group, Inc.",Health Care,Health Care Services,2021-06,2
POLY,"Plantronics, Inc.",Information Technology,Communications Equipment,2021-06,2
POWI,"Power Integrations, Inc.",Information Technology,Semiconductors,2021-06,1
POWL,"Powell Industries, Inc.",Industrials,Electrical Components & Equipment,2021-06,5
PPBI,"Pacific Premier Bancorp, Inc.",Financials,Regional Banks,2021-06,5
PRA,ProAssurance Corporation,Financials,Property & Casualty Insurance,2021-06,5
PRAA,"PRA Group, Inc.",Financials,Consumer Finance,2021-06,5
PRDO,Perdoceo Education Corp.,Consumer Discretionary,Education Services,2021-06,5
PRFT,"Perficient, Inc.",Information Technology,IT Consulting & Other Services,2021-06,4
PRG,"PROG Holdings, Inc.",Financials,Consumer Finance,2022-06,4
PRGS,Progress Software Corporation,Information Technology,Systems Software,2021-06,5
PRK,Park National Corp.,Financials,Diversified Banks,2021-06,5
PRLB,Protolabs,Industrials,Industrial Machinery,2021-06,5
PRVA,"Privia Health Group, Inc.",Health Care,Health Care Services,2023-06,3
PSMT,PriceSmart,Consumer Staples,Hypermarkets & Super Centers,2021-06,5
PTEN,"Patterson-UTI Energy, Inc.",Energy,Oil & Gas Drilling,2021-06,5
PTGX,"Protagonist Therapeutics, Inc.",Health Care,Biotechnology,2025-06,1
PUMP,ProPetro Holding Corp.,Energy,Oil & Gas Equipment & Services,2021-06,5
PVAC,Penn Virginia Corporation,Energy,Oil & Gas Exploration & Production,2021-06,1
PZZA,Papa John's Pizza,Consumer Discretionary,Restaurants,2024-06,2
QDEL,QuidelOrtho,Health Care,Health Care Supplies,2025-06,1
QNST,"QuinStreet, Inc.",Communication Services,Interactive Media & Services,2021-06,5
QRVO,Qorvo,Information Technology,Semiconductors,2025-06,1
QURE,uniQure N.V.,Health Care,Biotechnology,2022-06,2
RAMP,"LiveRamp Holdings, Inc.",Information Technology,Application Software,2022-06,4
RAVN,"Raven Industries, Inc.",Industrials,Industrial Conglomerates,2021-06,1
RC,Ready Capital Corp,Financials,Mortgage REITs,2021-06,5
RCII,"Rent-A-Center, Inc.",Consumer Discretionary,Computer & Electronics Retail,2021-06,3
RCUS,"Arcus Biosciences, Inc.",Health Care,Biotechnology,2022-06,4
RDN,"Radian Group, Inc.",Financials,Property & Casualty Insurance,2023-06,3
RDNT,"RadNet, Inc.",Health Care,Health Care Services,2021-06,5
REGI,"Renewable Energy Group, Inc.",Energy,Oil & Gas Refining & Marketing,2021-06,1
RES,"RPC, Inc.",Energy,Oil & Gas Equipment & Services,2021-06,5
REX,REX American Resources Corporation,Energy,Oil & Gas Refining & Marketing,2021-06,5
REZI,"Resideo Technologies, Inc.",Industrials,Trading Companies & Distributors,2021-06,5
RGNX,REGENXBIO Inc.,Health Care,Biotechnology,2021-06,4
RGP,"Resources Connection, Inc.",Industrials,Research & Consulting Services,2021-06,4
RGR,"Sturm, Ruger & Company, Inc.",Consumer Discretionary,Leisure Products,2021-06,5
RGS,Regis Corporation,Consumer Discretionary,Specialized Consumer Services,2021-06,1
RHI,Robert Half,Industrials,Human Resource & Employment Services,2025-06,1
RHP,Ryman Hospitality Properties,Real Estate,Hotel & Resort REITs,2025-06,1
RILY,B. Riley Financial,Financials,Asset Management & Custody Banks,2021-06,4
RLGY,Realogy Holdings Corp.,Real Estate,Real Estate Services,2021-06,2
RMAX,"RE/MAX Holdings, Inc.",Real Estate,Real Estate Services,2021-06,3
RMBS,"Rambus, Inc.",Information Technology,Semiconductors,2021-06,3
RNST,Renasant Corp.,Financials,Regional Banks,2021-06,5
ROCC,Ranger Oil Corporation,Energy,Oil & Gas Exploration & Production,2022-06,1
ROCK,"Gibraltar Industries, Inc.",Industrials,Building Products,2021-06,5
ROG,Rogers Corporation,Information Technology,Electronic Components,2021-06,5
ROIC,Retail Opportunity Investments Corp.,Real Estate,Retail REITs,2021-06,4
RPAI,"Retail Properties of America, Inc.",Real Estate,Retail REITs,2021-06,1
RPT,Ramco-Gershenson Properties Trust,Real Estate,Retail REITs,2021-06,3
RRC,Range Resources,Energy,Oil & Gas Exploration & Production,2021-06,1
RRGB,"Red Robin Gourmet Burgers, Inc.",Consumer Discretionary,Restaurants,2021-06,1
RUN,Sunrun,Industrials,Building Products,2024-06,2
RUSHA,Rush Enterprises,Industrials,Construction Machinery & Heavy Transportation Equipment,2024-06,2
RUTH,Ruth's Hospitality Group,Consumer Discretionary,Restaurants,2021-06,2
RWT,"Redwood Trust, Inc.",Real Estate,Mortgage REITs,2021-06,5
RXO,"RXO, Inc.",Industrials,Trucking,2023-06,3
RYAM,"Rayonier Advanced Materials, Inc.",Materials,Specialty Chemicals,2021-06,2
SABR,Sabre,Information Technology,Data Processing & Outsourced Services,2023-06,3
SAFE,"Safehold, Inc.",Real Estate,Specialized REITs,2021-06,5
SAFT,"Safety Insurance Group, Inc.",Financials,Property & Casualty Insurance,2021-06,5
SAH,"Sonic Automotive, Inc.",Consumer Discretionary,Automotive Retail,2021-06,5
SAIA,"Saia, Inc.",Industrials,Trucking,2021-06,1
SANM,Sanmina Corporation,Information Technology,Electronic Manufacturing Services,2021-06,5
SATS,EchoStar Corporation,Communication Services,Wireless Telecommunication Services,2024-06,1
SBCF,Seacoast Banking Corporation of Florida,Financials,Regional Banks,2021-06,5
SBH,"Sally Beauty Holdings, Inc.",Consumer Discretionary,Specialty Stores,2021-06,5
SBSI,"Southside Bancshares, Inc.",Financials,Regional Banks,2021-06,5
SCHL,Scholastic Corporation,Consumer Discretionary,Publishing,2021-06,5
SCL,Stepan Company,Materials,Specialty Chemicals,2021-06,5
SCSC,"ScanSource, Inc.",Information Technology,Technology Distributors,2021-06,5
SCVL,"Shoe Carnival, Inc.",Consumer Discretionary,Apparel Retail,2021-06,5
SDGR,"Schrödinger, Inc.",Health Care,Health Care Services,2023-06,3
SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment,2024-06,2
SEE,Sealed Air,Materials,Paper & Plastic Packaging Products & Materials,2024-06,2
SEM,Select Medical Holdings Corporation,Health Care,Health Care Facilities,2021-06,5
SENEA,Seneca Foods Corporation,Consumer Staples,Packaged Foods & Meats,2021-06,3
SFBS,"ServisFirst Bancshares, Inc.",Financials,Regional Banks,2021-06,5
SFNC,Simmons First National Corporation,Financials,Regional Banks,2021-06,5
SGH,"SMART Global Holdings, Inc.",Information Technology,Semiconductors,2021-06,5
SHAK,"Shake Shack, Inc.",Consumer Discretionary,Restaurants,2021-06,5
SHEN,Shenandoah Telecommunications Co,Communication Services,Wireless Telecommunication Services,2021-06,5
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,Hotel & Resort REITs,2023-06,3
SHOO,"Steven Madden, Ltd.",Consumer Discretionary,Footwear,2021-06,5
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores,2021-06,5
SITC,SITE Centers Corp.,Real Estate,Retail REITs,2021-06,5
SITM,SiTime,Information Technology,Semiconductors,2023-06,3
SIX,Six Flags,Consumer Discretionary,Leisure Facilities,2023-06,2
SJI,"South Jersey Industries, Inc.",Utilities,Gas Utilities,2021-06,2
SJW,SJW Group,Utilities,Water Utilities,2023-06,3
SKT,"Tanger Factory Outlet Centers, Inc.",Real Estate,Retail REITs,2021-06,5
SKY,"Champion Homes, Inc.",Consumer Discretionary,Homebuilding,2025-06,1
SKYW,"SkyWest, Inc.",Industrials,Airlines,2021-06,5
SLCA,"U.S. Silica Holdings, Inc.",Energy,Oil & Gas Equipment & Services,2021-06,4
SLG,SL Green Realty,Real Estate,Office REITs,2023-06,3
SLP,"Simulations Plus, Inc.",Health Care,Health Care Technology,2021-06,5
SLQT,"SelectQuote, Inc.",Financials,Insurance Brokers,2021-06,2
SLVM,Sylvamo Corp.,Materials,Paper Products,2022-06,4
SM,SM Energy Company,Energy,Oil & Gas Exploration & Production,2021-06,5
SMP,"Standard Motor Products, Inc.",Consumer Discretionary,Auto Parts & Equipment,2021-06,5
SMPL,Simply Good Foods Company,Consumer Staples,Packaged Foods & Meats,2021-06,5
SMTC,Semtech,Information Technology,Semiconductors,2023-06,3
SNBR,Sleep Number Corporation,Consumer Discretionary,Homefurnishing Retail,2021-06,3
SNCY,Sun Country Airlines,Industrials,Airlines,2023-06,3
SNDK,SanDisk,Information Technology,"Technology Hardware, Storage & Peripherals",2025-06,1
SNDR,Schneider National,Industrials,Cargo Ground Transportation,2025-06,1
SNEX,StoneX Group Inc.,Financials,Investment Banking & Brokerage,2021-06,5
SONO,"Sonos, Inc.",Consumer Discretionary,Consumer Electronics,2022-06,4
SPNT,Third Point Reinsurance Ltd.,Financials,Reinsurance,2022-06,4
SPOK,"Spok Holdings, Inc.",Communication Services,Wireless Telecommunication Services,2021-06,1
SPPI,"Spectrum Pharmaceuticals, Inc.",Health Care,Biotechnology,2021-06,1
SPSC,"SPS Commerce, Inc.",Information Technology,Application Software,2021-06,5
SPTN,SpartanNash Company,Consumer Staples,Food Distributors,2021-06,5
SPWR,SunPower,Industrials,Electrical Components & Equipment,2023-06,2
SPXC,SPX Corporation,Industrials,Industrial Machinery,2021-06,5
SRDX,"Surmodics, Inc.",Health Care,Health Care Equipment,2021-06,2
SSP,The E.W. Scripps Company,Consumer Discretionary,Broadcasting,2021-06,3
SSTK,"Shutterstock, Inc.",Consumer Discretionary,Specialized Consumer Services,2021-06,5
STAA,STAAR Surgical Company,Health Care,Health Care Equipment,2024-06,2
STAR,"iStar, Inc.",Real Estate,Diversified REITs,2021-06,2
STBA,"S&T Bancorp, Inc.",Financials,Regional Banks,2021-06,5
STC,Stewart Information Services Corporation,Financials,Property & Casualty Insurance,2021-06,5
STEL,"Stellar Bancorp, Inc.",Financials,Regional Banks,2023-06,3
STEP,StepStone Group,Financials,Asset Management & Custody Banks,2025-06,1
STMP,"Stamps.com, Inc.",Consumer Discretionary,Specialized Consumer Services,2021-06,1
STRA,"Strategic Education, Inc.",Consumer Discretionary,Education Services,2022-06,4
STRL,"Sterling Infrastructure, Inc.",Industrials,Construction & Engineering,2025-06,1
SUPN,"Supernus Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,2021-06,5
SVC,Service Properties Trust,Real Estate,Specialized REITs,2021-06,4
SWM,"Schweitzer-Mauduit International, Inc.",Materials,Paper Products,2021-06,3
SWN,Southwestern Energy Co.,Energy,Oil & Gas Exploration & Production,2021-06,2
SXC,"SunCoke Energy, Inc.",Materials,Steel,2021-06,5
SXI,Standex International Corporation,Industrials,Industrial Machinery,2021-06,5
SXT,Sensient Technologies,Materials,Specialty Chemicals,2024-06,2
SYKE,"Sykes Enterprises, Inc.",Information Technology,Data Processing & Outsourced Services,2021-06,1
TALO,"Talos Energy, Inc.",Energy,Oil & Gas Exploration & Production,2021-06,5
TBBK,"The Bancorp, Inc.",Financials,Regional Banks,2021-06,5
TBI,"TrueBlue, Inc.",Industrials,Human Resource & Employment Services,2021-06,3
TBK,"Triumph Bancorp, Inc.",Financials,Regional Banks,2021-06,3
TCMD,"Tactile Systems Technology, Inc.",Health Care,Health Care Equipment,2021-06,1
TDC,Teradata,Information Technology,IT Consulting & Other Services,2025-06,1
TDS,"Telephone and Data Systems, Inc.",Communication Services,Integrated Telecommunication Services,2022-06,4
TDW,"Tidewater, Inc.",Energy,Oil & Gas Equipment & Services,2025-06,1
TFIN,"Triumph Bancorp, Inc.",Financials,Regional Banks,2024-06,2
TFX,Teleflex,Health Care,Health Care Equipment,2025-06,1
TG,Tredegar Corporation,Materials,Commodity Chemicals,2021-06,2
TGI,"Triumph Group, Inc.",Industrials,Aerospace & Defense,2021-06,5
TGNA,Tegna,Communication Services,Broadcasting,2025-06,1
TGTX,"TG Therapeutics, Inc.",Health Care,Biotechnology,2025-06,1
THRM,Gentherm Incorporated,Consumer Discretionary,Auto Parts & Equipment,2021-06,5
THRY,"Thryv Holdings, Inc.",Communication Services,Interactive Media & Services,2022-06,4
THS,"TreeHouse Foods, Inc.",Consumer Staples,Packaged Foods & Meats,2022-06,4
TILE,"Interface, Inc.",Industrials,Office Services & Supplies,2021-06,5
TISI,"Team, Inc.",Industrials,Environmental & Facilities Services,2021-06,1
TMDX,"TransMedics Group, Inc.",Health Care,Health Care Equipment,2025-06,1
TMP,Tompkins Financial Corporation,Financials,Regional Banks,2021-06,5
TMST,TimkenSteel Corporation,Materials,Steel,2021-06,3
TNC,Tennant Company,Industrials,Industrial Machinery,2021-06,5
TNDM,Tandem Diabetes Care,Health Care,Health Care Equipment,2023-06,3
TPH,"Tri Pointe Homes, Inc.",Consumer Discretionary,Homebuilding,2022-06,4
TPRE,Third Point Reinsurance Ltd.,Financials,Reinsurance,2021-06,1
TR,"Tootsie Roll Industries, Inc.",Consumer Staples,Packaged Foods & Meats,2022-06,4
TREE,LendingTree,Financials,Thrifts & Mortgage Finance,2022-06,1
TRHC,"Tabula Rasa HealthCare, Inc.",Health Care,Health Care Services,2021-06,1
TRIP,TripAdvisor,Communication Services,Interactive Media & Services,2024-06,2
TRMK,Trustmark Corp.,Financials,Regional Banks,2022-06,4
TRN,"Trinity Industries, Inc.",Industrials,Construction Machinery & Heavy Trucks,2022-06,4
TRNO,Terreno Realty Corporation,Real Estate,Industrial REITs,2025-06,1
TRST,TrustCo Bank Corp NY,Financials,Thrifts & Mortgage Finance,2021-06,5
TRUP,Trupanion,Financials,Life & Health Insurance,2021-06,5
TSE,Trinseo,Materials,Specialty Chemicals,2021-06,3
TTEC,"TTEC Holdings, Inc.",Information Technology,Data Processing & Outsourced Services,2021-06,4
TTGT,TechTarget,Communication Services,Interactive Media & Services,2021-06,5
TTMI,"TTM Technologies, Inc.",Information Technology,Electronic Manufacturing Services,2021-06,5
TUP,Tupperware Brands Corp.,Consumer Discretionary,Housewares & Specialties,2021-06,2
TVTY,Tivity Health,Health Care,Health Care Services,2021-06,2
TWI,"Titan International, Inc.",Materials,Agricultural & Farm Machinery,2021-06,5
TWNK,Hostess Brands,Consumer Staples,Packaged Foods & Meats,2022-06,2
TWO,Two Harbors Investment Corp.,Financials,Mortgage REITs,2021-06,5
UBA,"Urstadt Biddle Properties, Inc.",Real Estate,Retail REITs,2021-06,3
